noteID,note_ru,translation_source
1,"Операции, определяемые дескрипторами операторов 2 01, 2 02, 2 03 и 2 04, 2 07 и 2 08 остаются определенными до тех пор, пока не будут отменены или до конца поднабора данных.",PDF
2,"В случае изменения масштаба может возникнуть необходимость для отправителя сообщения изменить соответствующим образом масштаб величины ссылки и масштаб длины данных.",PDF
3,"Отмена использования величины с новым определением должна осуществляться посредством включения соответствующего операнда, при этом Y устанавливается на нуль. После этого данная величина должна быть вновь приведена к первоначальной величине таблицы B.",PDF
4,"Вставка дескрипторов операторов должна гарантировать недвусмысленную их интерпретацию. В частности, операторы, определенные в рамках набора повторяющихся дескрипторов, должны быть отменены или укомплектованы в рамках данного набора, а оператор 2 07 не может быть вставлен в операторы 2 01, 2 02 или 2 03, равно как и наоборот.",PDF
5,"Вставка дескриптора оператора 2 04 определяется таким образом, что: a) каждое новое определение добавляется к текущему определению ассоциированного поля. Порядок включенной ассоциированной информации должен соответствовать тому порядку, в котором были определены ассоциированные поля; b) каждая отмена (2 04 000) отменяет лишь самое последнее определение добавления к ассоциированному полю.",PDF
6,"Когда используется дескриптор 2 04 YYY, его следует указывать до первых дескрипторов данных, к которым он относится.",PDF
7,"За оператором описания данных 2 04 YYY, помимо 2 04 000, должен сразу же следовать дескриптор 0 31 021 для указания значения соответствующих полей.",PDF
8,"В потоке данных 6 битов, представляемых дескриптором 0 31 021, должны предшествовать битам YYY.",PDF
9,"Если ассоциированное поле создано и получило значение, то это значение может быть изменено путем повторного применения дескриптора 0 31 021. Нет необходимости отменять ассоциированное поле, с тем чтобы изменить значение. Кроме того, если ассоциированное поле отменяется и затем восстанавливается, ему должно быть придано значение с помощью правильного применения дескриптора 0 31 021, в соответствии с описанием, имеющимся в примечаниях 5-8, т. е. предыдущее назначение величины не остается в силе при отмене ассоциированного поля.",PDF
10,"К элементам таблицы B класса 31 не следует применять операторов описания данных.",PDF
11,"Операция 2 05 позволяет включение открытого текста.",PDF
12,"Оператор 2 06 YYY предусматривает включение в сообщение локальных дескрипторов с ассоциированными данными, которые затем могут быть не приняты во внимание приемником сообщения. Это можно применять только к дескрипторам элементов (F = 0).",PDF
13,"В тех случаях, когда указываются «замененные/задержанные величины», это должно означать, что элемент данных из первоначальной части сообщения был заменен более правильной (предположительно) величиной; первоначальная величина была сохранена в сообщении с последующим замененным/задержанным оператором. В случае необходимости включения многочисленных замен для того же элемента данных, они должны следовать в таком порядке, чтобы первоначальные данные находились на последнем месте, а им должна предшествовать первая величина замены, которой в свою очередь предшествует следующая величина и т. д. Каждая величина или серия замененных задержанных величин должна быть указана посредством включения оператора 2 32 000.",PDF
14,"В случае указания «подставных величин», это должно означать, что элемент данных первоначальной части сообщения характеризуется, предположительно, плохим качеством. Тем не менее, этот элемент сохраняется в первоначальном сообщении в том виде, в котором он получен; более правильная величина введена в сообщение после оператора подставных величин. Если должны быть включены многочисленные подмены для одного и того же элемента данных, они должны следовать в таком порядке, чтобы первая подмена была на первом месте, за ней следовала следующая подмена, за ней следующая и т. д. Таким образом, (предполагаемая) «лучшая» величина будет находиться в конце набора подставных величин. Каждая величина или серия подставных величин должны быть указаны посредством включения оператора 2 23 000.",PDF
15,"Оператор 2 21 YYY позволяет создавать сообщение BUFR, содержащее только одну координату (классы 01-09), повторение с задержкой (класс 31) и информацию о контроле качества. Сообщение может быть связано с первоначальным сообщением носителем данных посредством сопоставления информации о координатах в этих двух сообщениях или, в локальном контексте, посредством информации о «базе данных», указанной в разделе 2.",PDF
16,"Статистические данные первого порядка обозначают величины с аналогичными примерами и теми же размерами, что и соответствующие сообщенные величины (например: максимальные, минимальные, средние и т. д.)",PDF
17,"Статистические данные о разности представляют собой величины разности, имеющие размеры те же, что соответствующие сообщенные величины в отношении единиц измерения, но пределы которых сконцентрированы на нуле (например: разность между сообщенными и аналитическими данными, разность между сообщенными и прогнозируемыми величинами и т. д.)",PDF
18,"Для местного использования не зарезервирован никакой дескриптор оператора.",PDF
19,"Событием, как определено для использования с операторами 2 41 000 и 2 42 000, является одно или ряд обстоятельств, описанных при использовании дескрипторов таблицы В наряду с их соответствующими значениями данных. Группировка таких дескрипторов как единое «событие» позволяет определить их сообща в качестве задачи отдельного дескриптора, такого как 0 33 045 или 0 33 046. При определении одного обстоятельства в рамках единого события может быть использован дескриптор 0 33 042 перед надлежащим дескриптором таблицы В для обозначения того, что соответствующее значение является в действительности границей области значений.",PDF
20,"Значение категориального прогноза представляет собой «наилучшее предположение» из множества связанных, а иногда взаимоисключающих значений данных или категорий. Оператор 2 43 000 может быть использован для указания одного или более значений в качестве значений категориального прогноза, а дескриптор 0 33 042 может предшествовать любому из этих значений для указания того, что данное значение в действительности является границей области значений.",PDF
